"","jvm","gcc","gc","benchmark","category","rtINT","rtHS","ratio"
"468","j09","GCC8","SGC","mnemonics","functional",971.81035955415,32.549679001,29.8562194583945
"469","j09","GCC8","SGC","movie-lens","apache",925.12698667015,109.896920744,8.41813383311433
"470","j09","GCC8","SGC","naive-bayes","apache",2636.4197118458,245.816314027,10.7251616813204
"471","j09","GCC8","SGC","neo4j-analytics","database",3747.6567303458,220.949741438,16.9615800677342
"472","j09","GCC8","SGC","page-rank","apache",1571.894754995,149.210709161,10.5347314802915
"473","j09","GCC8","SGC","par-mnemonics","functional",797.82964627495,20.600318735,38.7289952421676
"474","j09","GCC8","SGC","philosophers","scala",501.0744784255,14.934878383,33.5506232843423
"475","j09","GCC8","SGC","reactors","concurrency",1745.6977322168,90.564770655,19.2756821398788
"476","j09","GCC8","SGC","rx-scrabble","functional",92.4445886431,10.990373329,8.41141477871084
"477","j09","GCC8","SGC","scala-doku","scala",630.0260641752,34.607039933,18.2051416531129
"478","j09","GCC8","SGC","scala-kmeans","scala",166.35135243385,7.407088655,22.4583989988506
"479","j09","GCC8","SGC","scala-stm-bench7","scala",189.0204770264,16.686122648,11.3280047746177
"480","j09","GCC8","SGC","scrabble","functional",117.7320086082,11.346432557,10.3761255369704
"481","j10","GCC5","CGC","akka-uct","concurrency",1206.11879612415,87.515197054,13.7818211776399
"482","j10","GCC5","CGC","chi-square","apache",1122.02446873115,62.794914719,17.8680785498647
"483","j10","GCC5","CGC","db-shootout","database",2325.41559880025,251.949875103,9.22967553704717
"484","j10","GCC5","CGC","dec-tree","apache",480.3378802984,69.108762846,6.95046272740797
"485","j10","GCC5","CGC","dotty","scala",384.44041341215,69.684247167,5.51689124933544
"486","j10","GCC5","CGC","finagle-chirper","web",303.67600173785,53.053479571,5.72396012841059
"487","j10","GCC5","CGC","finagle-http","web",192.9302574226,56.615094023,3.40775301625785
"488","j10","GCC5","CGC","fj-kmeans","concurrency",521.7877956751,35.796152168,14.5766448088114
"489","j10","GCC5","CGC","future-genetic","functional",147.33646426755,13.534914449,10.8856590725208
"490","j10","GCC5","CGC","gauss-mix","apache",915.51565275875,60.672871392,15.089374076986
"491","j10","GCC5","CGC","log-regression","apache",487.00678739125,73.138904306,6.65865577304387
"492","j10","GCC5","CGC","mnemonics","functional",982.0417472667,26.653440071,36.8448404652726
"493","j10","GCC5","CGC","movie-lens","apache",945.1037627654,134.607441551,7.0211850985023
"494","j10","GCC5","CGC","naive-bayes","apache",3136.65025636185,216.435581847,14.4923040361227
"495","j10","GCC5","CGC","neo4j-analytics","database",3856.7901721348,196.233444914,19.6540919608533
"496","j10","GCC5","CGC","page-rank","apache",1608.57617415455,142.649444517,11.2764278865653
"497","j10","GCC5","CGC","par-mnemonics","functional",813.4714085863,22.78657933,35.6995842511259
"498","j10","GCC5","CGC","philosophers","scala",458.83879611615,13.500682396,33.986341035035
"499","j10","GCC5","CGC","reactors","concurrency",1815.3589909853,92.529914864,19.6191576924447
"500","j10","GCC5","CGC","rx-scrabble","functional",97.76576552865,10.633445137,9.19417594853294
"501","j10","GCC5","CGC","scala-doku","scala",632.34065939325,34.002756088,18.5967472094537
"502","j10","GCC5","CGC","scala-kmeans","scala",153.59267019285,7.996033314,19.2086080887044
"503","j10","GCC5","CGC","scala-stm-bench7","scala",180.2096317169,15.436981427,11.6738905574962
"504","j10","GCC5","CGC","scrabble","functional",121.31078427485,11.705930433,10.3631902623361
"505","j10","GCC5","CPGC","akka-uct",NA,NA,NA,NA
"506","j10","GCC5","CPGC","chi-square",NA,NA,NA,NA
"507","j10","GCC5","CPGC","db-shootout",NA,NA,NA,NA
"508","j10","GCC5","CPGC","dec-tree",NA,NA,NA,NA
"509","j10","GCC5","CPGC","dotty",NA,NA,NA,NA
"510","j10","GCC5","CPGC","finagle-chirper",NA,NA,NA,NA
"511","j10","GCC5","CPGC","finagle-http",NA,NA,NA,NA
"512","j10","GCC5","CPGC","fj-kmeans",NA,NA,NA,NA
"513","j10","GCC5","CPGC","future-genetic",NA,NA,NA,NA
